NODE_INDEX,SITEID,MOD_CELL_ID,CELLNAME,SITENAME,SITE_TYPE,REGION,KABUPATEN,KECAMATAN,LAC_TAC,ENODEB_ID,GNB_ID,RNC_ID,LONGITUDE,LATITUDE,TECHNOLOGY,BAND,ANTENNA_MODEL,ANTENNA_HEIGHT,AZIMUTH,AZIMUTH_SIN,AZIMUTH_COS,MT,ET,HORIZONTAL_BEAM_WIDTH,VENDOR,FLAG_PROCESS,FLAG_PULL,RET_NONRET,DATE,TOTAL_SUCCESS_CALLS,TOTAL_DROP_CALLS,TOTAL_BLOCK_CALLS,TOTAL_CSFB_CALLS,TOTAL_SETUP_FAIL_CALLS,TOTAL_CALLS,CELL_SUCCESS_RATE,CELL_DROP_RATE,CELL_BLOCK_RATE,CELL_AVG_RSRP,CELL_P10_RSRP,CELL_P90_RSRP,CELL_AVG_RSRQ,CELL_AVG_TA,CELL_P90_TA,CELL_AVG_DL_THROUPUT,CELL_AVG_UL_THROUPUT,CELL_TOTAL_DL_VOLUME,CELL_TOTAL_UL_VOLUME,CELL_TOTAL_PING_PONG_HO_COUNT,CELL_CSFB_RATE,CELL_PINGPONG_RATE,SETUP_FAIL_CALL_FLAG,OUT_HO_SUM,OUT_EDGE_COUNT,OUT_NEIGHBOR_COUNT,IN_HO_SUM,IN_EDGE_COUNT,IN_NEIGHBOR_COUNT,HO_TOTAL,OUT_IN_RATIO
0,SiteID_1,ModCell_1,Cell_1,SiteName_1,Massive MIMO,Region_1,District_1,SubDistrict_1,1000,50000,,,61.693632,8.976261000000001,4G,2300.0,APE4516R1v06,28.1,247.0,-0.9205048534524403,-0.3907311284892738,2.0,6.0,120,HUAWEI,F,P,RET,2025-09-14,44306,22,0,76,0,44404,0.9977929916223764,0.0004954508602828,0.0,-91.62158529638825,-102.59020233154295,-81.0,-10.78260547831707,53.88002228654375,80.0,5142.374217567624,1437.0447229008878,63110488.35420255,5369440.871999974,1390055656.0,0.0017115575173407,31304.73957301144,0,11210.0,306.0,306.0,40746.0,403.0,403.0,51956.0,0.2751368198885807
1,SiteID_2,ModCell_2,Cell_2,SiteName_2,Massive MIMO,Region_1,District_1,SubDistrict_2,1001,50001,,,61.713495,8.903157,4G,2300.0,AAU5336,48.3,267.0,-0.9986295347545738,-0.052335956242944306,6.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,185130,56,0,209,0,185395,0.99857061948812,0.0003020577685482,0.0,-88.53070943255187,-98.4000015258789,-78.80000305175781,-10.899973961226667,45.47822723524663,77.58489990234375,5180.543972247608,1648.581111849078,188196768.4316237,17874541.78740093,8608407503.0,0.0011273227433318,46432.79216267968,0,32552.0,131.0,131.0,90885.0,184.0,184.0,123437.0,0.3581739761899522
2,SiteID_3,ModCell_3,Cell_3,SiteName_3,Massive MIMO,Region_1,District_1,SubDistrict_3,1002,50002,,,61.649716000000005,8.951054,4G,2300.0,AAU5336,40.6,147.0,0.5446390350150273,-0.8386705679454239,2.0,2.0,90,HUAWEI,F,P,RET,2025-09-14,314651,339,0,291,1,315282,0.9979986171110308,0.0010752278912211,0.0,-90.37183372142611,-102.0,-77.5,-10.799012396182109,45.27208644271482,72.0,3950.967968644078,1298.744684586655,283546842.3637518,34067542.73370585,16314107533.0,0.0009229832340571,51744.493922900765,1,35666.0,220.0,220.0,57761.0,316.0,316.0,93427.0,0.6174820816453724
3,SiteID_4,ModCell_4,Cell_4,SiteName_4,Macro,Region_1,District_1,SubDistrict_4,1002,50003,,,61.670927999999996,8.950737,4G,900.0,ASI4518R42v06,36.0,237.0,-0.838670567945424,-0.544639035015027,3.0,6.0,90,HUAWEI,F,P,RET,2025-09-14,77167,113,0,226,0,77506,0.9956261450726396,0.0014579516424534,0.0,-102.81099658546036,-111.59249877929688,-92.5,-11.39980214469538,48.41401297994533,80.0,3339.092935416559,843.5157285091743,81380882.34160563,9251532.774800152,1616657221.0,0.0029159032849069,20858.478324258765,0,18053.0,235.0,235.0,54944.0,376.0,376.0,72997.0,0.3285831285831286
4,SiteID_4,ModCell_5,Cell_5,SiteName_4,Massive MIMO,Region_1,District_1,SubDistrict_4,1002,50003,,,61.670927999999996,8.950737,4G,2300.0,HW_ASI4518R10v06_ETpafx,28.1,232.0,-0.7880107536067221,-0.6156614753256581,2.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,123271,174,0,205,0,123650,0.9969348968863728,0.0014071977355438,0.0,-96.2704307364569,-108.0,-83.5,-10.68633600714522,37.2709154558086,64.0,4279.358285276215,1307.747243517717,113726887.4809133,14179684.181700291,2678375571.0,0.0016579053780832,21660.94274969673,0,32738.0,287.0,287.0,69920.0,774.0,774.0,102658.0,0.4682284292272707
5,SiteID_4,ModCell_6,Cell_6,SiteName_4,Massive MIMO,Region_1,District_1,SubDistrict_4,1002,50003,,,61.670927999999996,8.950737,4G,2300.0,AAU5336,20.5,47.0,0.7313537016191705,0.6819983600624985,2.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,236700,243,0,288,0,237231,0.9977616753291096,0.0010243180697295,0.0,-95.92799554811296,-107.5832977294922,-82.51280212402344,-11.892672746721209,43.267415058307776,64.0,3706.4132296954926,1534.1518213128068,207207143.08942345,20260485.87460094,4916722558.0,0.0012140066011608,20725.46403294679,0,62514.0,270.0,270.0,158345.0,440.0,440.0,220859.0,0.3947999949477726
6,SiteID_5,ModCell_7,Cell_7,SiteName_5,Macro,Region_1,District_1,SubDistrict_3,1000,50004,,,61.64263400000001,8.97152,4G,1800.0,ASI4518R42v06,20.5,327.0,-0.544639035015027,0.838670567945424,2.0,8.0,65,HUAWEI,F,P,RET,2025-09-14,174149,49,0,307,0,174505,0.9979599438411508,0.0002807942465831,0.0,-91.97381504907338,-101.6666030883789,-83.0,-12.457918511995636,63.88317687189054,96.0,5516.496981857715,1710.358379940007,184626229.6991141,19092297.837800544,4674637618.0,0.0017592619122661,26787.98669379101,0,10205.0,74.0,74.0,6449.0,79.0,79.0,16654.0,1.5823255813953487
7,SiteID_6,ModCell_8,Cell_8,SiteName_6,Massive MIMO,Region_1,District_1,SubDistrict_4,1003,50005,,,61.677724000000005,8.940076000000001,4G,2300.0,AAU5336,17.0,117.0,0.8910065241883679,-0.4539904997395467,3.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,101495,62,0,193,0,101750,0.9974938574938574,0.0006093366093366,0.0,-89.06149006397894,-102.0,-76.33329772949219,-11.704292687174728,52.44967782024567,88.0,5095.038429520761,1613.0615664925322,116436664.7907105,14948767.08920022,1853068154.0,0.0018968058968058,18211.97202948403,0,43424.0,423.0,423.0,211161.0,622.0,622.0,254585.0,0.205647796478533
8,SiteID_6,ModCell_9,Cell_9,SiteName_6,Massive MIMO,Region_1,District_1,SubDistrict_4,1003,50005,,,61.677724000000005,8.940076000000001,4G,2300.0,AAU5336,17.0,247.0,-0.9205048534524403,-0.3907311284892738,3.0,4.0,90,HUAWEI,F,P,RET,2025-09-14,174871,1237,0,212,1,176321,0.9917763624298864,0.0070156135684348,0.0,-103.30509179676976,-117.45449829101562,-87.77770233154297,-11.19623775427982,43.31284291125187,64.0,4106.786800639466,1079.015186492703,155944373.4283185,15617714.675700303,3506290075.0,0.0012023525274924,19885.833649990644,1,19570.0,225.0,225.0,160807.0,322.0,322.0,180377.0,0.1217041440724342
9,SiteID_7,ModCell_10,Cell_10,SiteName_7,Macro,Region_1,District_1,SubDistrict_1,1004,50006,,,61.699442,8.993691,4G,2300.0,ASI4518R10v06,45.3,207.0,-0.4539904997395467,-0.8910065241883679,4.0,6.0,90,HUAWEI,F,P,RET,2025-09-14,124623,16,0,144,0,124783,0.9987177740557608,0.0001282225944239,0.0,-95.45978804406477,-104.9564971923828,-84.23799896240234,-10.50121740355463,52.12272472394934,80.0,4156.761261458792,1523.1518949170818,124092720.64451636,9831374.702200104,791244961.0,0.0011540033498152,6340.967607767084,0,34117.0,132.0,132.0,18685.0,122.0,122.0,52802.0,1.8258589318206144
10,SiteID_7,ModCell_11,Cell_11,SiteName_7,Macro,Region_1,District_1,SubDistrict_1,1004,50006,,,61.699442,8.993691,4G,2300.0,ASI4518R10v06,45.3,207.0,-0.4539904997395467,-0.8910065241883679,4.0,8.0,90,HUAWEI,F,P,RET,2025-09-14,105560,10,0,90,0,105660,0.9990535680484574,9.46431951542684e-05,0.0,-93.240131626566,-103.88089752197266,-83.0,-10.765977134039836,49.631667898556266,80.0,4158.763921433385,1502.5030714283532,85924203.73290932,7872371.996400189,741221235.0,0.0008517887563884,7015.154599659285,0,33280.0,119.0,119.0,15173.0,114.0,114.0,48453.0,2.193291155924608
